# source: control/assets/dapfam-p1-source.v1.json; https://huggingface.co/datasets/datalyes/DAPFAM_patent; docs/figures/17_a7_exposure_anatomy.csv; docs/figures/18_a7_query_exposure.csv; ..\04_Owner_Stores\a1.2-v15-20260809\protected\inputs\evaluator-relations.arrow; ..\04_Owner_Stores\armindex\a6\a6-goal001-20260823T052423Z-full09\deep-rankings\pool-200.jsonl
status,domain,judged_queries,relevant_family_incidences,found_rank_1_100,found_rank_101_200,absent_top_200,absent_rate,macro_recall_at_100,perfect_ordering_bound
DONE,A16,1,2,0,0,2,1.000000,0.000000,0.000000
DONE,A21,6,45,8,1,36,0.800000,0.233333,0.250000
DONE,A22,9,42,8,2,32,0.761905,0.181277,0.201479
DONE,A23,7,45,5,1,39,0.866667,0.285714,0.357143
DONE,A24,4,5,0,0,5,1.000000,0.000000,0.000000
DONE,A41,9,24,5,5,14,0.583333,0.148148,0.374074
DONE,A42,10,33,8,4,21,0.636364,0.291667,0.358333
DONE,A43,6,12,1,0,11,0.916667,0.055556,0.055556
DONE,A44,8,40,19,2,19,0.475000,0.452083,0.472917
DONE,A45,9,94,15,6,73,0.776596,0.197441,0.313741
DONE,A46,6,12,4,0,8,0.666667,0.277778,0.277778
DONE,A47,8,66,2,0,64,0.969697,0.022204,0.022204
DONE,A61,4,6,1,0,5,0.833333,0.083333,0.083333
DONE,A62,7,48,12,4,32,0.666667,0.331746,0.361111
DONE,A63,8,17,3,1,13,0.764706,0.145833,0.208333
DONE,B01,7,26,3,0,23,0.884615,0.171429,0.171429
DONE,B02,10,61,9,2,50,0.819672,0.148333,0.185833
DONE,B03,8,47,26,3,18,0.382979,0.360471,0.408717
DONE,B04,5,5,1,1,3,0.600000,0.200000,0.400000
DONE,B05,5,34,9,6,19,0.558824,0.254062,0.396639
DONE,B06,8,73,17,8,48,0.657534,0.163235,0.343627
DONE,B07,7,31,8,7,16,0.516129,0.294728,0.510374
DONE,B08,7,66,8,1,57,0.863636,0.102381,0.110317
DONE,B09,9,82,15,7,60,0.731707,0.203258,0.327988
DONE,B21,8,84,4,6,74,0.880952,0.048872,0.089945
DONE,B22,9,52,0,1,51,0.980769,0.000000,0.055556
DONE,B23,6,94,4,6,84,0.893617,0.042061,0.099642
DONE,B24,9,80,2,3,75,0.937500,0.011696,0.033301
DONE,B25,5,8,1,0,7,0.875000,0.100000,0.100000
DONE,B26,8,63,3,2,58,0.920635,0.072115,0.206731
DONE,B27,10,99,11,13,75,0.757576,0.117062,0.203867
DONE,B28,8,27,5,2,20,0.740741,0.408333,0.433333
DONE,B29,8,57,3,1,53,0.929825,0.043403,0.057292
DONE,B30,10,75,21,3,51,0.680000,0.330000,0.372857
DONE,B31,5,19,1,3,15,0.789474,0.028571,0.278571
DONE,B32,7,90,2,1,87,0.966667,0.017857,0.026786
DONE,B33,10,20,3,2,15,0.750000,0.166667,0.250000
DONE,B41,8,87,2,4,81,0.931034,0.015686,0.047146
DONE,B42,7,11,2,2,7,0.636364,0.214286,0.392857
DONE,B43,9,24,13,1,10,0.416667,0.474074,0.529630
DONE,B44,8,49,6,7,36,0.734694,0.056908,0.157237
DONE,B60,7,22,0,0,22,1.000000,0.000000,0.000000
DONE,B61,8,32,8,2,22,0.687500,0.233333,0.254167
DONE,B62,10,115,6,4,105,0.913043,0.148739,0.172269
DONE,B63,9,65,7,2,56,0.861538,0.287037,0.320988
DONE,B64,9,39,4,3,32,0.820513,0.040404,0.075196
DONE,B65,7,86,3,3,80,0.930233,0.088235,0.175210
DONE,B66,6,38,3,4,31,0.815789,0.089286,0.228836
DONE,B67,7,67,7,2,58,0.865672,0.196742,0.275313
DONE,B68,9,28,12,1,15,0.535714,0.558081,0.595118
DONE,B81,9,37,4,2,31,0.837838,0.166667,0.259259
DONE,B82,8,37,4,0,33,0.891892,0.129167,0.129167
DONE,C01,4,14,7,3,4,0.285714,0.250000,0.333333
DONE,C02,9,72,11,5,56,0.777778,0.258079,0.355301
DONE,C03,5,15,5,1,9,0.600000,0.440000,0.506667
DONE,C04,10,50,15,3,32,0.640000,0.304010,0.328822
DONE,C05,10,36,13,3,20,0.555556,0.362500,0.458333
DONE,C06,8,47,15,16,16,0.340426,0.416903,0.633320
DONE,C07,1,1,0,0,1,1.000000,0.000000,0.000000
DONE,C08,6,65,3,1,61,0.938462,0.166667,0.222222
DONE,C09,1,1,0,0,1,1.000000,0.000000,0.000000
DONE,C10,8,59,11,2,46,0.779661,0.237500,0.320833
DONE,C11,6,25,1,0,24,0.960000,0.166667,0.166667
DONE,C12,2,2,0,0,2,1.000000,0.000000,0.000000
DONE,C13,9,36,9,7,20,0.555556,0.166667,0.420635
DONE,C14,7,45,24,4,17,0.377778,0.445238,0.488095
DONE,C21,7,38,7,2,29,0.763158,0.142857,0.285714
DONE,C22,8,76,2,1,73,0.960526,0.041667,0.050595
DONE,C23,7,29,0,3,26,0.896552,0.000000,0.021429
DONE,C25,5,33,4,1,28,0.848485,0.088889,0.138889
DONE,C30,7,13,1,2,10,0.769231,0.047619,0.142857
DONE,C40,6,9,0,1,8,0.888889,0.000000,0.083333
DONE,C70,1,1,0,0,1,1.000000,0.000000,0.000000
DONE,D01,8,74,22,7,45,0.608108,0.328066,0.393017
DONE,D02,6,30,14,4,12,0.400000,0.270202,0.357576
DONE,D03,10,51,14,2,35,0.686275,0.318333,0.339167
DONE,D04,9,25,6,3,16,0.640000,0.259259,0.444444
DONE,D05,8,38,10,3,25,0.657895,0.245833,0.320833
DONE,D06,5,47,3,0,44,0.936170,0.200000,0.200000
DONE,D07,7,53,15,7,31,0.584906,0.290208,0.401958
DONE,D21,7,78,4,0,74,0.948718,0.135495,0.135495
DONE,E01,8,37,6,4,27,0.729730,0.225000,0.368750
DONE,E02,9,36,23,4,9,0.250000,0.656085,0.746032
DONE,E03,9,59,6,1,52,0.881356,0.216959,0.272515
DONE,E04,9,21,6,1,14,0.666667,0.277778,0.300000
DONE,E05,9,108,5,6,97,0.898148,0.080376,0.257144
DONE,E06,10,41,11,5,25,0.609756,0.317222,0.513056
DONE,E21,9,55,4,0,51,0.927273,0.103535,0.103535
DONE,F01,7,37,9,3,25,0.675676,0.261905,0.333333
DONE,F02,7,44,9,0,35,0.795455,0.478571,0.478571
DONE,F03,4,51,1,0,50,0.980392,0.125000,0.125000
DONE,F04,9,72,7,2,63,0.875000,0.162037,0.279321
DONE,F15,9,60,12,4,44,0.733333,0.278175,0.366192
DONE,F16,8,75,4,1,70,0.933333,0.145833,0.270833
DONE,F17,11,56,15,9,32,0.571429,0.492216,0.625906
DONE,F21,7,13,1,0,12,0.923077,0.047619,0.047619
DONE,F22,9,43,10,4,29,0.674419,0.135450,0.180952
DONE,F23,7,25,8,2,15,0.600000,0.297619,0.458333
DONE,F24,8,45,3,4,38,0.844444,0.095982,0.186607
DONE,F25,9,75,2,0,73,0.973333,0.138889,0.138889
DONE,F26,10,60,19,6,35,0.583333,0.286726,0.362976
DONE,F27,7,13,2,0,11,0.846154,0.107143,0.107143
DONE,F28,5,29,4,2,23,0.793103,0.346667,0.453333
DONE,F41,8,58,3,6,49,0.844828,0.056548,0.210768
DONE,F42,8,21,2,0,19,0.904762,0.104167,0.104167
DONE,G01,8,17,0,0,17,1.000000,0.000000,0.000000
DONE,G02,7,41,1,7,33,0.804878,0.008403,0.068347
DONE,G03,5,13,2,1,10,0.769231,0.233333,0.433333
DONE,G04,8,61,22,7,32,0.524590,0.221261,0.290705
DONE,G05,6,14,0,1,13,0.928571,0.000000,0.055556
DONE,G06,5,8,0,0,8,1.000000,0.000000,0.000000
DONE,G07,7,28,6,2,20,0.714286,0.119048,0.166667
DONE,G08,6,19,3,5,11,0.578947,0.200000,0.283333
DONE,G09,8,12,2,0,10,0.833333,0.187500,0.187500
DONE,G10,9,46,0,1,45,0.978261,0.000000,0.055556
DONE,G11,9,54,11,7,36,0.666667,0.196914,0.421605
DONE,G12,5,21,3,0,18,0.857143,0.120000,0.120000
DONE,G16,5,16,1,0,15,0.937500,0.066667,0.066667
DONE,G21,7,61,8,5,48,0.786885,0.323726,0.401420
DONE,G60,2,23,10,5,8,0.347826,0.250000,0.516667
DONE,G99,1,1,0,0,1,1.000000,0.000000,0.000000
DONE,H01,5,5,0,1,4,0.800000,0.000000,0.200000
DONE,H02,7,32,2,1,29,0.906250,0.048980,0.191837
DONE,H03,8,54,2,0,52,0.962963,0.048246,0.048246
DONE,H04,3,6,1,0,5,0.833333,0.083333,0.083333
DONE,H05,4,5,0,0,5,1.000000,0.000000,0.000000
DONE,H10,4,18,2,0,16,0.888889,0.250000,0.250000
DONE,O60,1,20,4,3,13,0.650000,0.200000,0.350000
