# source: campaigns/armindex-multiretriever-v2/manifests/a2-five-arm-candidate-manifest.v1.json; owner-local A2 candidate result receipts under ..\04_Owner_Stores\armindex\a2; aggregate check docs/figures/06_a2_per_system_search.csv
candidate_id,arm_id,tier,executed,primary_recall_at_100,decision
a2-arm-01-matched-b1-exploit,ARM-01,matched,YES,0.2346666666666668,MEASURED
a2-arm-01-matched-b1-matched-ablation,ARM-01,matched,YES,0.231,MEASURED
a2-arm-01-matched-b1-orthogonal,ARM-01,matched,YES,0.2346666666666668,MEASURED
a2-arm-01-matched-b1-diversity,ARM-01,matched,YES,0.2346666666666668,MEASURED
a2-arm-01-matched-b2-exploit,ARM-01,matched,YES,0.1966666666666668,MEASURED
a2-arm-01-matched-b2-matched-ablation,ARM-01,matched,YES,0.1256666666666668,MEASURED
a2-arm-01-matched-b2-orthogonal,ARM-01,matched,YES,0.1966666666666668,MEASURED
a2-arm-01-matched-b2-diversity,ARM-01,matched,YES,0.2246666666666668,MEASURED
a2-arm-02-matched-b1-exploit,ARM-02,matched,YES,0.2633333333333333,MEASURED
a2-arm-02-matched-b1-matched-ablation,ARM-02,matched,YES,0.2559999999999999,MEASURED
a2-arm-02-matched-b1-orthogonal,ARM-02,matched,YES,0.2740000000000001,MEASURED
a2-arm-02-matched-b1-diversity,ARM-02,matched,YES,0.2740000000000001,MEASURED
a2-arm-02-matched-b2-exploit,ARM-02,matched,YES,0.29,MEASURED
a2-arm-02-matched-b2-matched-ablation,ARM-02,matched,YES,0.2600000000000001,MEASURED
a2-arm-02-matched-b2-orthogonal,ARM-02,matched,YES,0.29,MEASURED
a2-arm-02-matched-b2-diversity,ARM-02,matched,YES,0.29,MEASURED
a2-arm-03-matched-b1-exploit,ARM-03,matched,YES,0.4229999999999998,MEASURED
a2-arm-03-matched-b1-matched-ablation,ARM-03,matched,YES,0.4209999999999997,MEASURED
a2-arm-03-matched-b1-orthogonal,ARM-03,matched,YES,0.4229999999999998,MEASURED
a2-arm-03-matched-b1-diversity,ARM-03,matched,YES,0.4183333333333332,MEASURED
a2-arm-03-matched-b2-exploit,ARM-03,matched,YES,0.418,MEASURED
a2-arm-03-matched-b2-matched-ablation,ARM-03,matched,YES,0.4193333333333332,MEASURED
a2-arm-03-matched-b2-orthogonal,ARM-03,matched,YES,0.4229999999999999,MEASURED
a2-arm-03-matched-b2-diversity,ARM-03,matched,YES,0.4196666666666665,MEASURED
a2-arm-03-reserve-b3-exploit,ARM-03,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-03-reserve-b3-matched-ablation,ARM-03,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-03-reserve-b3-orthogonal,ARM-03,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-03-reserve-b3-diversity,ARM-03,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-04-matched-b1-exploit,ARM-04,matched,YES,0.3236666666666664,MEASURED
a2-arm-04-matched-b1-matched-ablation,ARM-04,matched,YES,0.357,MEASURED
a2-arm-04-matched-b1-orthogonal,ARM-04,matched,YES,0.3586666666666666,MEASURED
a2-arm-04-matched-b1-diversity,ARM-04,matched,YES,0.3556666666666666,MEASURED
a2-arm-04-matched-b2-exploit,ARM-04,matched,YES,0.3556666666666667,MEASURED
a2-arm-04-matched-b2-matched-ablation,ARM-04,matched,YES,0.3410000000000002,MEASURED
a2-arm-04-matched-b2-orthogonal,ARM-04,matched,YES,0.3556666666666667,MEASURED
a2-arm-04-matched-b2-diversity,ARM-04,matched,YES,0.3556666666666666,MEASURED
a2-arm-04-reserve-b3-exploit,ARM-04,conditional_reserve,YES,0.3236666666666664,MEASURED
a2-arm-04-reserve-b3-matched-ablation,ARM-04,conditional_reserve,YES,0.3546666666666667,MEASURED
a2-arm-04-reserve-b3-orthogonal,ARM-04,conditional_reserve,YES,0.3550000000000001,MEASURED
a2-arm-04-reserve-b3-diversity,ARM-04,conditional_reserve,YES,0.3526666666666667,MEASURED
a2-arm-05-matched-b1-exploit,ARM-05,matched,YES,0.3466666666666666,MEASURED
a2-arm-05-matched-b1-matched-ablation,ARM-05,matched,YES,0.3736666666666666,MEASURED
a2-arm-05-matched-b1-orthogonal,ARM-05,matched,YES,0.367,MEASURED
a2-arm-05-matched-b1-diversity,ARM-05,matched,YES,0.367,MEASURED
a2-arm-05-matched-b2-exploit,ARM-05,matched,YES,0.3689999999999999,MEASURED
a2-arm-05-matched-b2-matched-ablation,ARM-05,matched,YES,0.3473333333333333,MEASURED
a2-arm-05-matched-b2-orthogonal,ARM-05,matched,YES,0.3726666666666666,MEASURED
a2-arm-05-matched-b2-diversity,ARM-05,matched,YES,0.373,MEASURED
a2-arm-05-reserve-b3-exploit,ARM-05,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-05-reserve-b3-matched-ablation,ARM-05,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-05-reserve-b3-orthogonal,ARM-05,conditional_reserve,NO,NOT_EXPORTED,RESERVE
a2-arm-05-reserve-b3-diversity,ARM-05,conditional_reserve,NO,NOT_EXPORTED,RESERVE
