# source: control/assets/dapfam-p1-source.v1.json; https://huggingface.co/datasets/datalyes/DAPFAM_patent; docs/figures/13_a5_confirmation_quality.csv; ..\04_Owner_Stores\armindex\a5\a5-goal001-20260822T-rerun-materialized\protected\qrels.jsonl; ..\04_Owner_Stores\armindex\a5\a5-goal001-20260822T-rerun-materialized\remote-results\a5-result.json
status,domain,wins,ties,losses,mean_paired_recall_at_100
DONE,A01,3,3,2,0.037500
DONE,A16,1,0,0,0.050000
DONE,A21,7,0,0,0.171429
DONE,A22,6,0,1,0.171429
DONE,A23,4,3,1,0.106250
DONE,A24,7,0,2,0.122222
DONE,A31,0,0,1,-0.100000
DONE,A41,6,2,0,0.125000
DONE,A42,3,2,0,0.090000
DONE,A43,5,1,0,0.141667
DONE,A44,6,1,0,0.214286
DONE,A45,6,2,0,0.162500
DONE,A46,5,0,0,0.140000
DONE,A47,5,1,1,0.064286
DONE,A61,3,1,2,0.016667
DONE,A62,4,1,1,0.175000
DONE,A63,3,1,1,0.090000
DONE,B01,4,2,1,0.042857
DONE,B02,7,0,1,0.143750
DONE,B03,8,0,0,0.187500
DONE,B04,8,0,1,0.144444
DONE,B05,5,1,1,0.064286
DONE,B06,2,1,0,0.066667
DONE,B07,9,0,0,0.127778
DONE,B08,5,0,2,0.085714
DONE,B09,5,0,2,0.081746
DONE,B21,3,1,2,0.083333
DONE,B22,6,1,0,0.128571
DONE,B23,3,1,1,0.010000
DONE,B24,6,3,0,0.083333
DONE,B25,5,2,0,0.114286
DONE,B26,3,3,0,0.108333
DONE,B27,4,2,2,0.031250
DONE,B28,5,0,1,0.100000
DONE,B29,3,3,0,0.041667
DONE,B30,8,0,1,0.250000
DONE,B31,2,2,1,0.090000
DONE,B32,2,3,0,0.030000
DONE,B33,7,0,0,0.200000
DONE,B41,3,5,0,0.056250
DONE,B42,7,1,0,0.218750
DONE,B43,9,0,0,0.238889
DONE,B44,5,1,2,0.031250
DONE,B60,2,3,2,-0.007143
DONE,B61,5,1,0,0.125000
DONE,B62,3,3,0,0.033333
DONE,B63,6,2,0,0.143750
DONE,B64,6,1,1,0.106250
DONE,B65,4,1,1,0.075000
DONE,B66,7,0,1,0.137500
DONE,B67,4,2,0,0.125000
DONE,B68,7,1,1,0.144444
DONE,B81,6,1,1,0.112500
DONE,B82,5,0,0,0.160000
DONE,C01,5,1,2,0.093750
DONE,C02,4,1,0,0.120000
DONE,C03,7,0,1,0.106250
DONE,C04,5,1,1,0.085714
DONE,C05,5,0,1,0.141667
DONE,C06,3,1,1,0.120000
DONE,C07,4,3,2,0.077778
DONE,C08,5,3,0,0.106250
DONE,C09,4,0,2,0.058333
DONE,C10,5,0,1,0.116667
DONE,C11,4,1,3,0.062500
DONE,C12,5,1,0,0.141667
DONE,C13,6,1,1,0.106250
DONE,C14,4,1,0,0.070000
DONE,C21,5,2,1,0.093750
DONE,C22,5,1,1,0.157143
DONE,C23,1,2,3,-0.016667
DONE,C25,2,3,0,0.140000
DONE,C30,4,1,0,0.080000
DONE,C40,7,2,1,0.130000
DONE,C70,0,1,0,0.000000
DONE,D01,8,0,1,0.077778
DONE,D02,5,0,0,0.220000
DONE,D03,2,1,0,0.150000
DONE,D04,6,0,1,0.128571
DONE,D05,6,0,1,0.057143
DONE,D06,5,1,2,0.125000
DONE,D07,5,0,0,0.270000
DONE,D21,5,2,2,0.066667
DONE,E01,6,1,0,0.200000
DONE,E02,9,1,0,0.270000
DONE,E03,3,3,2,0.056250
DONE,E04,5,1,0,0.150000
DONE,E05,7,2,1,0.065000
DONE,E06,7,1,1,0.116667
DONE,E21,4,2,1,0.071429
DONE,F01,6,2,0,0.087500
DONE,F02,3,3,2,0.037500
DONE,F03,6,3,0,0.111111
DONE,F04,4,4,0,0.137500
DONE,F15,4,2,1,0.114286
DONE,F16,3,3,0,0.033333
DONE,F17,9,0,0,0.144444
DONE,F21,3,2,0,0.090000
DONE,F22,3,0,2,0.100000
DONE,F23,2,0,5,0.021429
DONE,F24,5,1,0,0.083333
DONE,F25,7,2,0,0.127778
DONE,F26,7,0,2,0.155556
DONE,F27,3,1,2,0.066667
DONE,F28,7,0,0,0.228571
DONE,F41,6,0,0,0.225000
DONE,F42,5,0,2,0.135714
DONE,G01,5,2,0,0.092857
DONE,G02,4,1,0,0.100000
DONE,G03,6,1,0,0.114286
DONE,G04,6,0,1,0.085714
DONE,G05,6,1,0,0.200000
DONE,G06,5,0,1,0.108333
DONE,G07,3,2,0,0.080000
DONE,G08,6,3,0,0.122222
DONE,G09,5,2,0,0.107143
DONE,G10,6,1,1,0.118750
DONE,G11,5,0,1,0.075000
DONE,G12,4,0,0,0.125000
DONE,G16,4,1,1,0.075000
DONE,G21,5,3,0,0.050000
DONE,G30,0,1,0,0.000000
DONE,G60,1,1,0,0.075000
DONE,H01,7,1,0,0.137500
DONE,H02,5,1,0,0.108333
DONE,H03,3,2,1,0.050000
DONE,H04,3,2,0,0.080000
DONE,H05,4,1,2,0.121429
DONE,H10,5,3,1,0.050000
DONE,H20,1,0,0,0.400000
DONE,O60,1,0,0,0.200000
