# source: ..\\04_Owner_Stores\\a1.2-v16-20260809\\runs\\a12-v16-20260811-r15\\journal-eda-r15\\a12-v16-20260811-r15\\A1_2_R15_CELL_EDA_20260811_TH.md; docs/figures/03_a1_common_screening.csv
status,row,column,recall_at_100
DONE,BM25,Title + abstract + claims,0.198000
DONE,BM25,Title + abstract,0.124667
DONE,BM25,First claim segment,0.187000
DONE,BM25,Fixed passages,0.234667
DONE,BM25,Title / abstract / claims views,0.211667
DONE,BGE-M3,Title + abstract + claims,0.273333
DONE,BGE-M3,Title + abstract,0.259000
DONE,BGE-M3,First claim segment,0.251000
DONE,BGE-M3,Fixed passages,0.288667
DONE,BGE-M3,Title / abstract / claims views,0.277667
DONE,PatEmbed-large,Title + abstract + claims,0.414667
DONE,PatEmbed-large,Title + abstract,0.401000
DONE,PatEmbed-large,First claim segment,0.416333
DONE,PatEmbed-large,Fixed passages,0.423000
DONE,PatEmbed-large,Title / abstract / claims views,0.412000
DONE,Arctic Embed M v2.0,Title + abstract + claims,0.344333
DONE,Arctic Embed M v2.0,Title + abstract,0.323667
DONE,Arctic Embed M v2.0,First claim segment,0.330333
DONE,Arctic Embed M v2.0,Fixed passages,0.352667
DONE,Arctic Embed M v2.0,Title / abstract / claims views,0.352333
DONE,Qwen3 Embedding 0.6B,Title + abstract + claims,0.366333
DONE,Qwen3 Embedding 0.6B,Title + abstract,0.349667
DONE,Qwen3 Embedding 0.6B,First claim segment,0.357667
DONE,Qwen3 Embedding 0.6B,Fixed passages,0.380000
DONE,Qwen3 Embedding 0.6B,Title / abstract / claims views,0.365000
