layer,population,metric,value
A7-L1,ALL,judged_query_count,1247
A7-L1,ALL,relevant_family_count,24929
A7-L1,ALL,Recall@100,0.438964626214
A7-L1,ALL,nDCG@100,0.362497103931
A7-L1,IN,judged_query_count,1217
A7-L1,IN,relevant_family_count,19736
A7-L1,IN,Recall@100,0.528164111236
A7-L1,IN,nDCG@100,0.406513126603
A7-L1,OUT,judged_query_count,905
A7-L1,OUT,relevant_family_count,5193
A7-L1,OUT,Recall@100,0.188449898653
A7-L1,OUT,nDCG@100,0.070644223566
A7-L6,ALL,query_count,1247
A7-L6,ALL,relevant_family_count,24929
A7-L6,ALL,relevant_family_exposed_at_100,10938
A7-L6,ALL,relevant_family_deep_ranked_101_to_200,2689
A7-L6,ALL,relevant_family_exposed_at_200,13627
A7-L6,ALL,relevant_family_not_exposed_at_200,11302
A7-L6,ALL,aggregate_query_classes.fully_exposed_at_100,18
A7-L6,ALL,aggregate_query_classes.partially_exposed_at_100,1173
A7-L6,ALL,aggregate_query_classes.deep_only_101_to_200,23
A7-L6,ALL,aggregate_query_classes.unretrieved_at_200,33
A7-L6,ALL,curves.10.Recall,0.136794974606
A7-L6,ALL,curves.10.nDCG,0.295725055507
A7-L6,ALL,curves.20.Recall,0.214697496213
A7-L6,ALL,curves.20.nDCG,0.246606575819
A7-L6,ALL,curves.50.Recall,0.336358371202
A7-L6,ALL,curves.50.nDCG,0.315167721895
A7-L6,ALL,curves.100.Recall,0.438964626214
A7-L6,ALL,curves.100.nDCG,0.362497103931
A7-L6,ALL,curves.200.Recall,0.546832397755
A7-L6,ALL,curves.200.nDCG,0.405319355173
A7-L6,IN,query_count,1217
A7-L6,IN,relevant_family_count,19736
A7-L6,IN,relevant_family_exposed_at_100,10142
A7-L6,IN,relevant_family_deep_ranked_101_to_200,2357
A7-L6,IN,relevant_family_exposed_at_200,12499
A7-L6,IN,relevant_family_not_exposed_at_200,7237
A7-L6,IN,aggregate_query_classes.fully_exposed_at_100,81
A7-L6,IN,aggregate_query_classes.partially_exposed_at_100,1091
A7-L6,IN,aggregate_query_classes.deep_only_101_to_200,19
A7-L6,IN,aggregate_query_classes.unretrieved_at_200,26
A7-L6,IN,curves.10.Recall,0.187048067448
A7-L6,IN,curves.10.nDCG,0.3074831284
A7-L6,IN,curves.20.Recall,0.277871602329
A7-L6,IN,curves.20.nDCG,0.28696509781
A7-L6,IN,curves.50.Recall,0.413144709628
A7-L6,IN,curves.50.nDCG,0.357930632744
A7-L6,IN,curves.100.Recall,0.528164111236
A7-L6,IN,curves.100.nDCG,0.406513126603
A7-L6,IN,curves.200.Recall,0.645077432336
A7-L6,IN,curves.200.nDCG,0.448900868962
A7-L6,OUT,query_count,905
A7-L6,OUT,relevant_family_count,5193
A7-L6,OUT,relevant_family_exposed_at_100,796
A7-L6,OUT,relevant_family_deep_ranked_101_to_200,332
A7-L6,OUT,relevant_family_exposed_at_200,1128
A7-L6,OUT,relevant_family_not_exposed_at_200,4065
A7-L6,OUT,aggregate_query_classes.fully_exposed_at_100,67
A7-L6,OUT,aggregate_query_classes.partially_exposed_at_100,297
A7-L6,OUT,aggregate_query_classes.deep_only_101_to_200,86
