arm_id,arm_label,stage,metric,value,metric_unit,interpretation
ARM-01,BM25 lexical,A1,recall_at_100,0.191200,ratio,common_screen_mean
ARM-01,BM25 lexical,A2,recall_at_100,0.2346666667,ratio,diagnostic_no_winner
ARM-02,BGE-M3,A1,recall_at_100,0.269933,ratio,common_screen_mean
ARM-02,BGE-M3,A2,recall_at_100,0.2900000000,ratio,diagnostic_no_winner
ARM-03,PatEmbed,A1,recall_at_100,0.413400,ratio,common_screen_mean
ARM-03,PatEmbed,A2,recall_at_100,0.4230000000,ratio,primary_transfer_input
ARM-04,Arctic Embed,A1,recall_at_100,0.340667,ratio,common_screen_mean
ARM-04,Arctic Embed,A2,recall_at_100,0.3586666667,ratio,primary_transfer_input
ARM-05,Qwen3 Embedding,A1,recall_at_100,0.363733,ratio,common_screen_mean
ARM-05,Qwen3 Embedding,A2,recall_at_100,0.3736666667,ratio,primary_transfer_input
