layer,population,metric,value
A7-L1,ALL,judged_query_count,1247
A7-L1,ALL,relevant_family_count,24929
A7-L1,ALL,Recall@100,0.438964626214
A7-L1,ALL,nDCG@100,0.362497103931
A7-L1,IN,judged_query_count,1217
A7-L1,IN,relevant_family_count,19736
A7-L1,IN,Recall@100,0.528164111236
A7-L1,IN,nDCG@100,0.406513126603
A7-L1,OUT,judged_query_count,905
A7-L1,OUT,relevant_family_count,5193
A7-L1,OUT,Recall@100,0.188449898653
A7-L1,OUT,nDCG@100,0.070644223566
A7-L6,ALL,query_count,1247
A7-L6,ALL,relevant_family_count,24929
A7-L6,ALL,relevant_family_exposed_at_200,13627
A7-L6,ALL,relevant_family_not_exposed_at_200,11302
A7-L6,IN,query_count,1217
A7-L6,IN,relevant_family_count,19736
A7-L6,IN,relevant_family_exposed_at_200,12499
A7-L6,IN,relevant_family_not_exposed_at_200,7237
A7-L6,OUT,query_count,905
A7-L6,OUT,relevant_family_count,5193
A7-L6,OUT,relevant_family_exposed_at_200,1128
A7-L6,OUT,relevant_family_not_exposed_at_200,4065
A7-L7,ALL,query_count,1247
A7-L7,ALL,existing_top_200_oracle_Recall@100,0.546832397755
A7-L7,ALL,observed_Recall@100,0.438964626214
A7-L7,ALL,bounded_reranking_headroom_Recall@100,0.107867771541
A7-L7,ALL,pool_expansion_performed,False
A7-L7,IN,query_count,1217
A7-L7,IN,existing_top_200_oracle_Recall@100,0.645077432336
A7-L7,IN,observed_Recall@100,0.528164111236
A7-L7,IN,bounded_reranking_headroom_Recall@100,0.1169133211
A7-L7,IN,pool_expansion_performed,False
A7-L7,OUT,query_count,905
A7-L7,OUT,existing_top_200_oracle_Recall@100,0.260166940437
A7-L7,OUT,observed_Recall@100,0.188449898653
A7-L7,OUT,bounded_reranking_headroom_Recall@100,0.071717041784
A7-L7,OUT,pool_expansion_performed,False
