cell_id,arm_id,arm_label,program_id,program_label,out_recall_at_100,out_ndcg_at_100,out_ndcg_at_10,search_latency_p50_ms,search_latency_p95_ms,search_latency_p99_ms,throughput_qps,wall_seconds,peak_host_ram_bytes,peak_vram_bytes,index_size_bytes,replay_count,retry_count,failure_rate,receipt_sha256,receipt_file_sha256
ARM-01--P00-TAC-DOC,ARM-01,BM25 lexical,P00-TAC-DOC,Title + abstract + claims,0.19800000000000015,0.1812875611800338,0.1727968904211678,146.0076,190.51458999999994,230.04702699999984,6.520451227918115,111.7110569,0,0,95290352,2,0,0.0,1c0e3aa235d54308aaf50a8b9404cecd494812dbdc8da56ae224fcadfdbb515b,389c472e242140a5db3320457022d7579fc3eb1f5a1f999ef53352c4ef2efefe
ARM-01--P01-TA-DOC,ARM-01,BM25 lexical,P01-TA-DOC,Title + abstract,0.12466666666666676,0.11090344776219377,0.09986787617357705,147.77865,190.46081,210.980247,6.626505449266998,54.3791098,0,0,33044460,2,0,0.0,3c0d088038234ee572d95e3a39cf156ecdabcf5155323f77bfd3b714c0485fc6,20567790148d4d719bff08d433b7a506de6a6eff21f217f267731a415f600f9e
ARM-01--P02-CLAIM1,ARM-01,BM25 lexical,P02-CLAIM1,First claim segment,0.1870000000000001,0.17034449678156469,0.15985033411039357,159.82255,203.60635,228.9321279999999,6.091032206174427,82.5766099,0,0,82998980,2,0,0.0,b67bf4a9acf01a114a354152417808333f80c76c85931f8b10fbf547df506edb,7b84b4e8c05902a53c21e18a9d0f74b6b8c8c243e42374a8998707594e50dada
ARM-01--P03-PASSAGE,ARM-01,BM25 lexical,P03-PASSAGE,Fixed passages,0.23466666666666677,0.21078362369007603,0.19502414087530942,653.04665,771.131945,824.073082,1.5083448409067293,269.4355059,0,0,208319732,2,0,0.0,dfcdc31f09c7059b1f39a7ddb4fb534144dfd1db37030c3871ed20bdf20f9b74,fd74680490ae32edf793e6cdab11a73c96fae9f378f472c2ee59c89a436f86ef
ARM-01--P04-SECTION-MULTIVIEW,ARM-01,BM25 lexical,P04-SECTION-MULTIVIEW,Title / abstract / claims views,0.21166666666666684,0.19026497613351162,0.1725168882664601,648.33815,851.8844499999999,955.0207439999997,1.4879024912505903,244.4304166,0,0,119712356,2,0,0.0,e053c6659ecea2bebd2902380111e62319878479f4bc661e510e1609a24116d4,301260c0e3ccc48aa8534e5f2b2ae11f6b72325e7c84d4ef9e40bc41ef0e6467
ARM-02--P00-TAC-DOC,ARM-02,BGE-M3 dense,P00-TAC-DOC,Title + abstract + claims,0.27333333333333354,0.23630337486382264,0.20042600673512606,131.5235845,156.0084463,174.21455375999994,5.440715620767034,2629.826800015,8660365312,1345817600,371392512,2,0,0.0,d0d47c9b75610ad3a1bfb2480d59d1acd78964aa0d141b28164273a07c8b952d,76d7ab892e802b9f333c4edb7b5753f5f3931cbbf6b8dff05d6a6f2cd46eac2b
ARM-02--P01-TA-DOC,ARM-02,BGE-M3 dense,P01-TA-DOC,Title + abstract,0.2589999999999999,0.22545285836031106,0.19664505881656288,132.8638655,158.49893394999998,163.01840853,5.490200918362846,1712.855980727,6018248704,1338482688,371392512,2,0,0.0,04a2bf3102040b982d3282d0c5923e6718b41e359350270771cea66e2f7fd6c2,cf554f4ba117a2880376825a74c5cd79a1e532aaf2e81b7c218d698675541669
ARM-02--P02-CLAIM1,ARM-02,BGE-M3 dense,P02-CLAIM1,First claim segment,0.25099999999999983,0.21577167522957608,0.18819273557101002,138.1767395,181.2250844,197.87444806999994,5.248687971217647,2560.542840881,8296980480,1345817600,371392512,2,0,0.0,8eeefcb19d77999a6a5b8ab1d7b8e0881df8a066626e9c9a385f321068d9da2e,ff3b014eb286af2c34ee5ea3b7c3f9374481da13391837ec57b6d7ab96cd3698
ARM-02--P03-PASSAGE,ARM-02,BGE-M3 dense,P03-PASSAGE,Fixed passages,0.2886666666666668,0.25095087548659173,0.22162508668663283,261.5592835,295.13699445,305.3150085299999,3.058876513725704,7187.733767639,16808079360,1345817600,1477009408,2,0,0.0,2c80f1952311d9f11b4e384a1c3571d1a898daa87a84c5e410fea720ba8cd51e,6f7544b939cadcd435a700fd1a691042e0d1d71bc0c5a592e845b71648afac45
ARM-02--P04-SECTION-MULTIVIEW,ARM-02,BGE-M3 dense,P04-SECTION-MULTIVIEW,Title / abstract / claims views,0.2776666666666665,0.22840645123852943,0.18559519006675396,347.6102305,385.14794035,401.07036746,2.499022074684864,5756.355267681,13619691520,1345817600,1114177536,2,0,0.0,8426a029b1110d58c2b7ac26f24720f0aa9b00978bb6c42f77f4438f6b14e9d0,96fd2e96373f22237cf066ec848afd71d8875a35b4f57f757dfc6bf5f0cdeb02
ARM-03--P00-TAC-DOC,ARM-03,PatEmbed dense,P00-TAC-DOC,Title + abstract + claims,0.4146666666666667,0.3548887776262974,0.30311931092576333,127.423235,149.50783925,161.18841189,4.028289612763243,5723.242081186,10166005760,710705152,371392512,2,0,0.0,35b923d75e6f87ab03366722554e064f662881e6ad6f195430643ead676720f9,e47cd58fc7a19fa89fa74eab785532262710c74f1dc78becc8116fdd83a591de
ARM-03--P01-TA-DOC,ARM-03,PatEmbed dense,P01-TA-DOC,Title + abstract,0.40099999999999997,0.33733384789490956,0.28271696083369974,132.0122005,153.80754654999996,163.89933274999999,3.945877880532224,1709.288010606,6514876416,710705152,371392512,2,0,0.0,30ce9484112b5a8bae4ceb91e41464506204185f1bf7ba1941247d015344f22e,1b1e52e46d7b600313cef6201406e93201f7cbf95a2fc32d9b18fbb3f8d17d36
ARM-03--P02-CLAIM1,ARM-03,PatEmbed dense,P02-CLAIM1,First claim segment,0.4163333333333331,0.3542209799085495,0.3049118962521395,129.29797050000002,150.2286768,167.83829294999984,3.9769686766739962,5201.377151599,9679151104,710705152,371392512,2,0,0.0,6aecf7e35a2a3ea86bb92bd268d57cb9dd20565a8224a4b1fadc0af17a0b6fb1,293a54f54920c9841f7260d890781c313f24673f5f248a37f383683e8e4cbb5f
ARM-03--P03-PASSAGE,ARM-03,PatEmbed dense,P03-PASSAGE,Fixed passages,0.4229999999999998,0.3593355984601252,0.30152484887750336,223.622032,241.73846039999998,264.0955061599998,2.9459526536295995,8485.079262743,17582002176,710705152,1477009408,2,0,0.0,280c1ea29bfcde89e8dac709bb32710d12aec7126b113d797b784e3a8a439871,bd6b3a087373c4fceac18c67f3b9196d6a38aaa2509ec4d62d3697f379072edb
ARM-03--P04-SECTION-MULTIVIEW,ARM-03,PatEmbed dense,P04-SECTION-MULTIVIEW,Title / abstract / claims views,0.412,0.33328224300710196,0.25700761308332853,335.07871450000005,365.02515825,385.45167059999994,2.191612272419382,8325.653022556,15238868992,710705152,1114177536,2,0,0.0,1b7e2f18a24f1412a0952d782fab9b664d52b242b6bf59814a5f986020ba914c,34ab674b5ee2d7b4db33d26c52054f30c390108f91cf54fcf6cdd4e0c516bcfa
ARM-04--P00-TAC-DOC,ARM-04,Arctic Embed dense,P00-TAC-DOC,Title + abstract + claims,0.34433333333333327,0.2849200082985097,0.23402454497525074,116.852982,140.85126685,162.13856875999997,6.603669422818971,2158.97542534,8477003776,906945024,278544384,2,0,0.0,b3bb022fa1b59d6f9662199973d997857faa853dff148b88d09c80b47724487d,5b2b1808a49a1ee9d3deefb52b5b48fbef11a2ae69f7c28774ddf83254e59e9e
ARM-04--P01-TA-DOC,ARM-04,Arctic Embed dense,P01-TA-DOC,Title + abstract,0.32366666666666644,0.27276215961376504,0.22938098255201786,121.51500300000001,142.97865059999998,152.81324062999997,6.314613282706394,1180.095894839,5260386304,901434368,278544384,2,0,0.0,d8f588512738d0969b5e619903a333df109da49f67e7b52c6ffd46bb06fda38c,063d987718b281a026b9116761943267576d353285970885d3a5c15330c516a4
ARM-04--P02-CLAIM1,ARM-04,Arctic Embed dense,P02-CLAIM1,First claim segment,0.33033333333333326,0.2819805127449231,0.2392502198098759,124.5070015,144.26267675,151.89918190999995,6.325518043996987,2209.814884468,8211836928,906945024,278544384,2,0,0.0,33c19aab267f864fdd338124e0c0f38f2708dca54b73d384440ec048c2394ae1,921b2bbbf6294f693905dd300156dd5726eff49b21c56b2f2548cfb611fe98ae
ARM-04--P03-PASSAGE,ARM-04,Arctic Embed dense,P03-PASSAGE,Fixed passages,0.3526666666666667,0.3030944604965942,0.25880106095597727,227.4808185,270.15212445,285.90033032,3.766444685062141,5726.968543814,13766451200,906945024,1107757056,2,0,0.0,a86a618f9fde1e52a480c4b0cdf52c8573ab08a8d1cd36870a29c5fa7157b3a2,18b6a57aafca8949baaa74bbe30b180cfcf76021fd88657cf3986b1c6e787235
ARM-04--P04-SECTION-MULTIVIEW,ARM-04,Arctic Embed dense,P04-SECTION-MULTIVIEW,Title / abstract / claims views,0.3523333333333334,0.27997052940134426,0.21623362687015277,345.246405,372.7894450999999,386.82888763999995,2.6499385538431333,4602.633586652,11404120064,906945024,835633152,2,0,0.0,04d2f30f3deec26d24836ebd255a842085f7e9eaa3d05fcb178a8a86da6fa69c,12f87793e64bf780d7e16aebed33eff7b64caf43fe53951e69ad306779bb5f06
ARM-05--P00-TAC-DOC,ARM-05,Qwen3 Embedding dense,P00-TAC-DOC,Title + abstract + claims,0.36633333333333323,0.3131066039310918,0.2643008068394939,125.440328,149.6634983,169.49247941999997,4.374644656454984,5084.85805424,9165115392,6050277888,371392512,2,0,0.0,eb6467c9a4315393b00bc467a7420390d48762b384f53988cbc0fbbeccb8fb62,4b10b088ab71ba7383cb09464c1779ee135a3d21aa714ff144d55aaee2af4774
ARM-05--P01-TA-DOC,ARM-05,Qwen3 Embedding dense,P01-TA-DOC,Title + abstract,0.3496666666666665,0.3032622751992395,0.2621529939206745,132.2634165,156.09845994999998,171.44204360999996,4.227959146125972,3843.975568051,5850443776,3207819776,371392512,2,0,0.0,5be741621d7a831aa2d7ac499a0fe6c3720e97ac4a6a7fa365bf3bb2def13cf3,553073e0ab883cc2fbc885d54660fb31ce305152773305d23dafdbbc33dc37d2
ARM-05--P02-CLAIM1,ARM-05,Qwen3 Embedding dense,P02-CLAIM1,First claim segment,0.3576666666666668,0.3078545371757162,0.2590993501140507,134.2492665,159.41984265,176.20962909,4.231365105263069,5083.718838565,8765808640,6050277888,371392512,2,0,0.0,6c0230f5a23a434ed3df775202ed96f327480f2903cad6620e558bba8f13c6f6,b2ff4153ce0f33f3adf1fd2d74d9d7194aebc3100b88df656507884f9672f45c
